ID, Question, Choice_A, Choice_B, Choice_C, Choice_D, Choice_E, Correct_Answer
117,Who accused John Quincy Adams of making a “corrupt bargain”?,(A) Henry Clay,(B) Daniel Webster,(C) William Crawford,(D) Andrew Jackson,(E) James Monroe,D
118,Who did not support the idea of nullification?,(A) John C. Calhoun,(B) Thomas Jefferson,(C) James Madison,(D) Robert Hayne,(E) Daniel Webster,E
119,A tariff would protect,(A) cloth made in New England.,(B) cloth made in England.,(C) cotton grown in the South.,(D) wheat grown in the West.,(E) corn grown in New England.,C
120,The Erie Canal connected,(A) North to South.,(B) Midwest to South.,(C) Northeast to West.,(D) Southeast to West.,(E) Southeast to Northeast.,C
121,Match the reform to the reformer. V) Mental institutions W) Abolitionism X) Suffrage Y) Education Z) Religion 1) William Lloyd Garrison 2) Charles Grandison Finney 3) Horace Mann 4) Dorothea Dix 5) Elizabeth Cady Stanton Answer choices:,"(A) V-4, W-1, X-3, Y-2","(B) V-3, X-5, Y-4, Z-2","(C) V-4, W-1, X-5, Z-2","(D) W-1, X-5, Y-2, Z-4","(E) W-5, X-1, Y-2, Z-4",C
122,"In the South,",(A) all whites held slaves.,(B) slaves told each other Bible stories.,(C) slaves rarely ran away.,(D) there were no free blacks.,(E) all slaveholders were rich.,D
123,The cotton gin,(A) produced cotton cloth faster.,(B) planted cotton seeds faster.,(C) was a curse to the planters.,(D) allowed cotton to be grown profitably further North.,(E) allowed cotton to be grown profitably further West.,E
124,The Irish,(A) settled in cities.,(B) became farmers.,(C) were skilled workers.,(D) were Protestants.,(E) were highly educated.,A
125,The gag rule was favored the most by,(A) Northerners.,(B) Southerners.,(C) Whigs.,(D) Democrats.,(E) Anti-Masons.,B
126,Manifest Destiny involved,(A) slavery.,(B) anti-slavery.,(C) tariff protection for New England manufacturing.,(D) expansion to the west.,(E) Native American rights.,D
127,"David Wilmot, author of the Wilmot Proviso (1846), was a congressman from",(A) California.,(B) South Carolina.,(C) Pennsylvania.,(D) North Carolina.,(E) Kansas.,C
128,Place these events in chronological order: I. Kansas-Nebraska Act II. Missouri Compromise III. secession IV. Bleeding Kansas V. Uncle Tom’s Cabin published,"(A) II, V, IV, I, III","(B) III, II, I, IV, V","(C) V, IV, I, II, III","(D) II, V, I, IV, III","(E) V, I, II, III, IV",C
129,Which position had the most unpredictable outcome? (A) “No extension of slavery to the west” (B) Supporting a national slave code (C) Popular sovereignty (D) Immediate abolition (E) Gradual abolition,(A) “No extension of slavery to the west”,(B) Supporting a national slave code,(C) Popular sovereignty,(D) Immediate abolition,(E) Gradual abolition,C
130,The Know-Nothings were,(A) pro-immigrant.,(B) anti-immigrant.,(C) supported by slaveholders.,(D) supported by Catholics.,(E) supported by the Ku Klux Klan.,B
131,Why did the Southern states secede after the election of 1860? (A) They were attacked. (B) The tariff was too high. (C) They wanted to preserve slavery. (D) Virginia encouraged them. (E) They had lost Missouri.,(A) They were attacked.,(B) The tariff was too high.,(C) They wanted to preserve slavery.,(D) Virginia encouraged them.,(E) They had lost Missouri.,C
132,"Of the states below, which one was President Lincoln most concerned about how the population felt about the Civil War? (A) Illinois (B) Kentucky (C) Georgia (D) Mississippi (E) South Carolina",(A) Illinois,(B) Kentucky,(C) Georgia,(D) Mississippi,(E) South Carolina,B
133,Match the battle with its state. V) Vicksburg W) Atlanta X) Richmond Y) Gettysburg Z) Antietam 1) Georgia 2) Maryland 3) Mississippi 4) Virginia 5) Pennsylvania,"(A) V-3, W-1, Y-5, Z-2, X-4","(B) V-3, X-4, Y-5, Z-1, W-2","(C) W-1, X-4, Y-5, Z-3, V-2","(D) V-2, W-1, X-4, Y-5, Z-3","(E) W-1, X-3, Y-5, Z-4, V-2",C
134,Place the following events in chronological order: 1) Lincoln elected 2) Lincoln took office 3) Upper South secedes 4) Lower South secedes 5) Fort Sumter attacked,"(A) 1,2,5,3,4","(B) 3,4,1,2,5","(C) 4,3,1,2,5","(D) 1,4,2,5,3","(E) 1,5,3,4,2",A
135,Which is the BEST explanation for why the South lost? (A) They used slaves to fight. (B) They had poor generals. (C) They had weak support from the population. (D) They had too many deserters. (E) The war lasted too long.,(A) They used slaves to fight.,(B) They had poor generals.,(C) They had weak support from the population.,(D) They had too many deserters.,(E) The war lasted too long.,B
136,The Freedman’s Bureau was established to (A) help former slaves find jobs and protect them from discrimination. (B) help African Americans win election to public office. (C) help rebuild the transportation networks of the South. (D) protect African Americans from scalawags and carpetbaggers. (E) help former slave owners get back on their feet economically after Emancipation.,(A) help former slaves find jobs and protect them from discrimination.,(B) help African Americans win election to public office.,(C) help rebuild the transportation networks of the South.,(D) protect African Americans from scalawags and carpetbaggers.,(E) help former slave owners get back on their feet economically after Emancipation.,A
137,"Under the terms of the Compromise of 1877, Republicans maintained control of the White House and agreed to (A) transfer large sums of money to the Democratic Party. (B) withdraw federal troops from the South. (C) push for passage of the 15th Amendment. (D) give Democrats control of Congress. (E) raise tariff rates on imported goods.",(A) transfer large sums of money to the Democratic Party.,(B) withdraw federal troops from the South.,(C) push for passage of the 15th Amendment.,(D) give Democrats control of Congress.,(E) raise tariff rates on imported goods.,B
138,"The Reconstruction Act of 1867 required that the former Confederate states, in order to gain readmission to the Union, (A) ratify the 14th Amendment and guarantee African American men the right to vote. (B) end slavery. (C) imprison former Confederate government officials. (D) have 10 percent of their people sign a loyalty oath to the Constitution of the United States. (E) nullify Jim Crow laws.",(A) ratify the 14th Amendment and guarantee African American men the right to vote.,(B) end slavery.,(C) imprison former Confederate government officials.,(D) have 10 percent of their people sign a loyalty oath to the Constitution of the United States.,(E) nullify Jim Crow laws.,A
139,"Pick the correct order for the following events: W) Rutherford B. Hayes becomes president. X) The South surrenders to end the Civil War. Y) The act establishing Radical Reconstruction is passed. Z) The Emancipation Proclamation is issued. Answer choices: (A) X,Z,Y,W (B) W,Z,X,Y (C) Z,XY,W (D) Z,Y,X,W (E) X,Y,W,Z","X,Z,Y,W",,,,,
140,Which of the following was NOT a major reason for the movement of large numbers of people from the east of the Mississippi River to the west of it during the second half of the 19th century? (A) People were interested in the free land provided by the Homestead Act. (B) The completion of the first transcontinental railroad made doing business out west economically feasible. (C) People were trying to escape the air and water pollution common in the cities of the East. (D) Soil was becoming depleted in the East. (E) Strikes of gold and silver lured prospectors out west.,(A) People were interested in the free land provided by the Homestead Act.,(B) The completion of the first transcontinental railroad made doing business out west economically feasible.,(C) People were trying to escape the air and water pollution common in the cities of the East.,(D) Soil was becoming depleted in the East.,(E) Strikes of gold and silver lured prospectors out west.,C
141,"The Dawes Act (A) forced Native Americans to be removed from their traditional homelands. (B) allowed Native Americans to practice their traditional ways within the confines of their reservations. (C) encouraged Native Americans to own individual plots of land, which they and their families would cultivate. (D) allowed Native Americans to establish gambling casinos on their land. (E) outlawed the ceremonial Ghost Dance.",(A) forced Native Americans to be removed from their traditional homelands.,(B) allowed Native Americans to practice their traditional ways within the confines of their reservations.,"(C) encouraged Native Americans to own individual plots of land, which they and their families would cultivate.",(D) allowed Native Americans to establish gambling casinos on their land.,(E) outlawed the ceremonial Ghost Dance.,C
142,The purpose of the Homestead Act was to (A) attract people to settle in the West. (B) promote the development of railroad building in the West. (C) raise revenue for the federal government. (D) preserve open lands in the West for future generations to enjoy. (E) transfer large tracts of land to giant agricultural concerns.,(A) attract people to settle in the West.,(B) promote the development of railroad building in the West.,(C) raise revenue for the federal government.,(D) preserve open lands in the West for future generations to enjoy.,(E) transfer large tracts of land to giant agricultural concerns.,A
143,“Exodusters” were (A) Mormons who made the journey from the East to Utah. (B) ministers who were part of the Second Great Awakening. (C) Native Americans who were forced off their land by the Indian Removal Act. (D) African Americans who fled the South in the post–Civil War period. (E) farmers who fled the “Dust Bowl” during the 1920s and 1930s.,(A) Mormons who made the journey from the East to Utah.,(B) ministers who were part of the Second Great Awakening.,(C) Native Americans who were forced off their land by the Indian Removal Act.,(D) African Americans who fled the South in the post–Civil War period.,(E) farmers who fled the “Dust Bowl” during the 1920s and 1930s.,D
144,“Yellow-dog” contracts (A) required African Americans to agree to work as sharecroppers. (B) were the result of collective bargaining by unions and owners. (C) were part of the strategy used by owners to prevent the establishment of unions. (D) were welcomed by craft unions. (E) were emblematic of Gilded Age corruption.,(A) required African Americans to agree to work as sharecroppers.,(B) were the result of collective bargaining by unions and owners.,(C) were part of the strategy used by owners to prevent the establishment of unions.,(D) were welcomed by craft unions.,(E) were emblematic of Gilded Age corruption.,C
145,The Bessemer process created an inexpensive way to (A) refine oil. (B) assemble the parts of an automobile. (C) create steel. (D) harvest corn and wheat. (E) generate electricity.,(A) refine oil.,(B) assemble the parts of an automobile.,(C) create steel.,(D) harvest corn and wheat.,(E) generate electricity.,C
146,The Sherman Antitrust Act (A) was used successfully to break up trusts. (B) was welcomed by Andrew Carnegie. (C) was consistent with the philosophy of social Darwinism. (D) was used most effectively against striking unions. (E) strengthened the Clayton Antitrust Act.,(A) was used successfully to break up trusts.,(B) was welcomed by Andrew Carnegie.,(C) was consistent with the philosophy of social Darwinism.,(D) was used most effectively against striking unions.,(E) strengthened the Clayton Antitrust Act.,C
147,"An important trend that characterized American society during the Gilded Age was (A) harmony and peace at industrial sites. (B) clean, efficient government. (C) a decline of rail transportation and an increase in truck and automobile use. (D) the continuation of rural traditions. (E) a growing economy.",(A) harmony and peace at industrial sites.,"(B) clean, efficient government.",(C) a decline of rail transportation and an increase in truck and automobile use.,(D) the continuation of rural traditions.,(E) a growing economy.,E
148,Pick the choice that matches the author with the book he or she wrote. X) Stephen Crane Y) Willa Cather Z) Henry James 1) My Ántonia 2) The House of Mirth 3) The Bostonians 4) The Red Badge of Courage Answer choices: (A) X-4; Y-2; Z-1 (B) X-2; Y-1; Z-3 (C) X-4; Y-1; Z-3 (D) X-3; Y-2; Z-4 (E) X-2; Y-1; Z-4,(A) X-4; Y-2; Z-1,(B) X-2; Y-1; Z-3,(C) X-4; Y-1; Z-3,(D) X-3; Y-2; Z-4,(E) X-2; Y-1; Z-4,C
149,The “new immigrants” of the late 19th and early 20th century were primarily (A) Anglo-Saxons. (B) Irish refugees from the potato blight. (C) from within the Western hemisphere. (D) Eastern and Southern Europeans. (E) exiles leaving the United States.,(A) Anglo-Saxons.,(B) Irish refugees from the potato blight.,(C) from within the Western hemisphere.,(D) Eastern and Southern Europeans.,(E) exiles leaving the United States.,D
150,Pick the answer that matches the person with the idea or movement he or she is associated with. X) Charles Graham Sumner Y) Jane Addams Z) Andrew Carnegie 1) the gospel of wealth 2) social Darwinism 3) pragmatism 4) the settlement house movement Answer choices: (A) X-1; Y-2; Z-3 (B) X-2; Y-3; Z-4 (C) X-2; Y-4; Z-1 (D) X-3; Y-4; Z-1 (E) X-3; Y-1; Z-2,(A) X-1; Y-2; Z-3,(B) X-2; Y-3; Z-4,(C) X-2; Y-4; Z-1,(D) X-3; Y-4; Z-1,(E) X-3; Y-1; Z-2,C
151,"Urban political machines during the Gilded Age (A) were scorned by immigrant groups, who were cheated by graft and corruption. (B) were usually associated with the Republican Party. (C) often formed alliances with the Women’s Christian Temperance Union. (D) often provided a social safety net in an age when welfare did not yet exist. (E) were eliminated by the Pendleton Act.","(A) were scorned by immigrant groups, who were cheated by graft and corruption.",(B) were usually associated with the Republican Party.,(C) often formed alliances with the Women’s Christian Temperance Union.,(D) often provided a social safety net in an age when welfare did not yet exist.,(E) were eliminated by the Pendleton Act.,D
152,The term spoilsmen is most appropriately applied to (A) politicians who supported civil service reform. (B) miners who destroyed important natural areas. (C) generals who profited off of America’s victory in the Spanish-American War. (D) urban “bosses” who received kickbacks from contracts between the government and private firms. (E) party loyalists who expected jobs in exchange for their political work.,(A) politicians who supported civil service reform.,(B) miners who destroyed important natural areas.,(C) generals who profited off of America’s victory in the Spanish-American War.,(D) urban “bosses” who received kickbacks from contracts between the government and private firms.,(E) party loyalists who expected jobs in exchange for their political work.,E
153,"Coxey’s Army was (A) a disgruntled band of poor farmers and indentured servants in colonial Virginia. (B) a group of farmers who protested the excise tax on whiskey during Washington’s administration. (C) an African American regiment that fought in the Civil War. (D) an agrarian protest movement against the government’s inaction in the wake of the Panic of 1893. (E) World War I veterans who marched to Washington, D.C., during the Depression to demand their bonus payments.",(A) a disgruntled band of poor farmers and indentured servants in colonial Virginia.,(B) a group of farmers who protested the excise tax on whiskey during Washington’s administration.,(C) an African American regiment that fought in the Civil War.,(D) an agrarian protest movement against the government’s inaction in the wake of the Panic of 1893.,"(E) World War I veterans who marched to Washington, D.C., during the Depression to demand their bonus payments.",D
154,"A major source of farmers’ problems in the late 19th century was (A) the inability to attain new, mechanized farm equipment. (B) a declining urban market for their goods. (C) inflation due to an increase in the money supply. (D) the unwillingness of the next generation to stay in farming. (E) overproduction and lowered prices on their crops.","(A) the inability to attain new, mechanized farm equipment.",(B) a declining urban market for their goods.,(C) inflation due to an increase in the money supply.,(D) the unwillingness of the next generation to stay in farming.,(E) overproduction and lowered prices on their crops.,E
155,"Granger laws, passed in several states in the 1870s and 1880s, (A) outlawed the sale and consumption of alcohol on a county-by-county basis. (B) increased the supply of money. (C) established homesteading on the Great Plains. (D) regulated the rates railroads could charge farmers. (E) reformed electoral practices.",(A) outlawed the sale and consumption of alcohol on a county-by-county basis.,(B) increased the supply of money.,(C) established homesteading on the Great Plains.,(D) regulated the rates railroads could charge farmers.,(E) reformed electoral practices.,D
156,The Platt Amendment and the Roosevelt Corollary are similar in that they both (A) pushed the Progressive agenda into new areas. (B) were welcomed by American anti-imperialists who believed in self-determination for all people. (C) led to war with European powers. (D) expanded the role of the United States in foreign nations. (E) were attacked by critics who argued that the president was assuming too much power.,(A) pushed the Progressive agenda into new areas.,(B) were welcomed by American anti-imperialists who believed in self-determination for all people.,(C) led to war with European powers.,(D) expanded the role of the United States in foreign nations.,(E) were attacked by critics who argued that the president was assuming too much power.,D
157,The Spanish-American War is often considered a turning point in U.S. history because it (A) helped spark an industrial revolution. (B) ushered in a period of isolation from world affairs for the United States. (C) made the United States a significant imperialist power. (D) led to the formation of the League of Nations. (E) ended the period of laissez-faire and led to greater government involvement in economic matters.,(A) helped spark an industrial revolution.,(B) ushered in a period of isolation from world affairs for the United States.,(C) made the United States a significant imperialist power.,(D) led to the formation of the League of Nations.,(E) ended the period of laissez-faire and led to greater government involvement in economic matters.,C
158,The Open Door policy (A) divided China into spheres of influence. (B) allowed for U.S. intervention in Cuban affairs. (C) stated that the United States reserved the right to intervene in the affairs of Latin American nations. (D) called for free trade with Africa. (E) called for equal access to trade with China for all nations.,(A) divided China into spheres of influence.,(B) allowed for U.S. intervention in Cuban affairs.,(C) stated that the United States reserved the right to intervene in the affairs of Latin American nations.,(D) called for free trade with Africa.,(E) called for equal access to trade with China for all nations.,E
159,"Alfred Mahan is best known in American history for his argument that (A) the Philippines should have been granted independence after the Spanish-American War. (B) non-Anglo-Saxon peoples are genetically inferior and, therefore, incapable of self-rule. (C) the United States should develop its naval power and establish overseas colonies if it hoped to be a world power. (D) Jim Crow laws served the interests of both African Americans and whites in that they maintained social order and harmony. (E) the power of the industrial giants needed to be reigned in if America were to maintain its democratic government.",(A) the Philippines should have been granted independence after the Spanish-American War.,"(B) non-Anglo-Saxon peoples are genetically inferior and, therefore, incapable of self-rule.",(C) the United States should develop its naval power and establish overseas colonies if it hoped to be a world power.,(D) Jim Crow laws served the interests of both African Americans and whites in that they maintained social order and harmony.,(E) the power of the industrial giants needed to be reigned in if America were to maintain its democratic government.,C
160,"The devastation caused by a hurricane and flood in Galveston, Texas, in 1900 led to calls for (A) the replacement of political machines with more efficient and professional forms of municipal government. (B) federal projects to divert rivers and build levees. (C) people to abandon seaside cities and move to higher elevations. (D) a federal income tax. (E) a religious reawakening to allay fears of divine punishment.",(A) the replacement of political machines with more efficient and professional forms of municipal government.,(B) federal projects to divert rivers and build levees.,(C) people to abandon seaside cities and move to higher elevations.,(D) a federal income tax.,(E) a religious reawakening to allay fears of divine punishment.,B
161,The Progressive movement could most accurately be described as a (A) working-class response to low wages and long hours. (B) conservative reaction to immigration. (C) middle-class response to urbanization and industrialization. (D) rural response to falling farm prices and powerful banks. (E) Southern response to the power of Northern politicians.,(A) working-class response to low wages and long hours.,(B) conservative reaction to immigration.,(C) middle-class response to urbanization and industrialization.,(D) rural response to falling farm prices and powerful banks.,(E) Southern response to the power of Northern politicians.,C
162,Theodore Roosevelt used his position as president to (A) push for measures to protect the environment. (B) advance a socialist agenda. (C) reform the banking system. (D) convince Americans to join World War I. (E) argue for a strict interpretation of the Constitution.,(A) push for measures to protect the environment.,(B) advance a socialist agenda.,(C) reform the banking system.,(D) convince Americans to join World War I.,(E) argue for a strict interpretation of the Constitution.,C
163,The passage of the Federal Reserve Act was important because it (A) made up for revenue lost by the Underwood Tariff. (B) centralized financial power in one city—New York. (C) allowed the president to set interest rates. (D) created a mechanism to regulate the money supply. (E) nationalized banks in the United States.,(A) made up for revenue lost by the Underwood Tariff.,(B) centralized financial power in one city—New York.,(C) allowed the president to set interest rates.,(D) created a mechanism to regulate the money supply.,(E) nationalized banks in the United States.,D
164,All of the following led to World War I EXCEPT (A) the rise of capitalism. (B) the formation of alliances. (C) imperialism. (D) the desire for self-determination among nations. (E) extreme nationalism.,(A) the rise of capitalism.,(B) the formation of alliances.,(C) imperialism.,(D) the desire for self-determination among nations.,(E) extreme nationalism.,A
165,"The immediate cause of the United States’s entrance into World War I was the (A) assassination of Archduke Franz Ferdinand of Austria. (B) announcement by Germany of the use of unrestricted submarine warfare. (C) sinking of the Lusitania. (D) Zimmermann Note. (E) attack on Pearl Harbor, Hawaii.",(A) assassination of Archduke Franz Ferdinand of Austria.,(B) announcement by Germany of the use of unrestricted submarine warfare.,(C) sinking of the Lusitania.,(D) Zimmermann Note.,"(E) attack on Pearl Harbor, Hawaii.",D
166,"Woodrow Wilson’s Fourteen Points, written in 1918, aimed to (A) guarantee that all people live under a democracy. (B) spread U.S. influence in the world. (C) shift U.S. policy from isolation to involvement. (D) establish a peacekeeping force in Europe. (E) prevent future wars by rectifying the causes of World War I.",(A) guarantee that all people live under a democracy.,(B) spread U.S. influence in the world.,(C) shift U.S. policy from isolation to involvement.,(D) establish a peacekeeping force in Europe.,(E) prevent future wars by rectifying the causes of World War I.,E
167,Henry Cabot Lodge objected to the League of Nations on the grounds that it (A) violated the Constitution. (B) might lead the United States into future wars. (C) was too idealistic to be workable. (D) was to be located outside of the United States. (E) violated the principles of self-determination.,(A) violated the Constitution.,(B) might lead the United States into future wars.,(C) was too idealistic to be workable.,(D) was to be located outside of the United States.,(E) violated the principles of self-determination.,B
168,The National Origins Act of 1924 (A) favored immigration from all parts of Europe because America needed European workers. (B) greatly reduced the number of immigrants from Eastern and Southern Europe. (C) favored immigration from Asia and Africa because the immigrants were likely to work for low wages. (D) had little impact on the flow of immigrants into the United States. (E) led to an immigration movement of U.S. residents back to Europe.,(A) favored immigration from all parts of Europe because America needed European workers.,(B) greatly reduced the number of immigrants from Eastern and Southern Europe.,(C) favored immigration from Asia and Africa because the immigrants were likely to work for low wages.,(D) had little impact on the flow of immigrants into the United States.,(E) led to an immigration movement of U.S. residents back to Europe.,B
169,"This African American leader thought the way for African Americans to improve their position in American society was to gain vocational training to obtain jobs in agriculture, craft work, and manufacturing. (A) Booker T. Washington (B) W. E. B. DuBois (C) Marcus Garvey (D) Malcolm X (E) Martin Luther King Jr.",(A) Booker T. Washington,(B) W. E. B. DuBois,(C) Marcus Garvey,(D) Malcolm X,(E) Martin Luther King Jr.,A
170,Margaret Sanger is best known for (A) being the first female cabinet member in a presidential administration. (B) devoting her adult life to pushing for women to have the right to vote. (C) advocating prohibition. (D) singing jazz songs. (E) opening the first birth control clinic in the United States.,(A) being the first female cabinet member in a presidential administration.,(B) devoting her adult life to pushing for women to have the right to vote.,(C) advocating prohibition.,(D) singing jazz songs.,(E) opening the first birth control clinic in the United States.,E
171,Which of the following was not a cause of the Great Migration? (A) The need for workers in munitions plants during World War I (B) Lynchings in Southern towns (C) Jim Crow laws (D) The Great Depression (E) The failure of cotton crops in the 1910s,(A) The need for workers in munitions plants during World War I,(B) Lynchings in Southern towns,(C) Jim Crow laws,(D) The Great Depression,(E) The failure of cotton crops in the 1910s,D
172,"A major cause of the Depression of 1929 was (A) too few dollars in circulation. (B) overproduction and overconsumption of goods, creating a shortage of goods. (C) overproduction and underconsumption of goods, causing the prices of goods to decrease. (D) an increase in the number of exports. (E) low tariffs.",(A) too few dollars in circulation.,"(B) overproduction and overconsumption of goods, creating a shortage of goods.","(C) overproduction and underconsumption of goods, causing the prices of goods to decrease.",(D) an increase in the number of exports.,(E) low tariffs.,C
173,"When Herbert Hoover was elected president in 1928, the U.S. economy appeared to be in a (A) depression. (B) recession. (C) period of prosperity. (D) recovery. (E) bank crisis.",(A) depression.,(B) recession.,(C) period of prosperity.,(D) recovery.,(E) bank crisis.,C
174,"FDR and Herbert Hoover differed in that (A) FDR believed in rugged individualism, while Herbert Hoover believed that the individual was capable of raising himself/herself above the Depression. (B) Herbert Hoover believed that the government and the people had a duty to help those suffering from the depression, while FDR believed in laissez-faire. (C) FDR supported the idea of “priming the pump” with government money to end the Depression, while Herbert Hoover believed in direct relief to the people suffering from the Depression. (D) Herbert Hoover believed in rugged individualism, while FDR believed in “priming the pump” with government funds to end the Depression. (E) FDR was willing to take control of legislation to end the Depression even without the support of Congress, while Herbert Hoover believed in expanding the powers of the presidency to deal with the Depression.","(A) FDR believed in rugged individualism, while Herbert Hoover believed that the individual was capable of raising himself/herself above the Depression.","(B) Herbert Hoover believed that the government and the people had a duty to help those suffering from the depression, while FDR believed in laissez-faire.","(C) FDR supported the idea of “priming the pump” with government money to end the Depression, while Herbert Hoover believed in direct relief to the people suffering from the Depression.","(D) Herbert Hoover believed in rugged individualism, while FDR believed in “priming the pump” with government funds to end the Depression.","(E) FDR was willing to take control of legislation to end the Depression even without the support of Congress, while Herbert Hoover believed in expanding the powers of the presidency to deal with the Depression.",C
175,Franklin D. Roosevelt’s administration began with (A) a court-packing scheme. (B) an end to speculation in stocks and the stock market. (C) a decrease in unemployment. (D) the establishment of the Social Security system. (E) a bank holiday.,(A) a court-packing scheme.,(B) an end to speculation in stocks and the stock market.,(C) a decrease in unemployment.,(D) the establishment of the Social Security system.,(E) a bank holiday.,E
176,"Which of the following organizations, born in the 1930s, focused on organizing unskilled workers? (A) Congress of Industrial Organizations (B) Industrial Workers of the World (C) Knights of Labor (D) American Federation of Labor (E) Communist Party",(A) Congress of Industrial Organizations,(B) Industrial Workers of the World,(C) Knights of Labor,(D) American Federation of Labor,(E) Communist Party,A
177,Pick the answer that correctly matches the artist and the cultural product he or she created: X) John Steinbeck Y) Frank Capra Z) Margaret Mitchell 1) Mr. Smith Goes to Washington 2) The Good Earth 3) The Grapes of Wrath 4) Gone With the Wind 5) Waiting for Lefty Answer choices: (A) X-2; Y-4; Z-5 (B) X-3; Y-2; Z-4 (C) X-5; Y-2; Z-2 (D) X-3; Y-4; Z-1 (E) X-3; Y-1; Z-4,(A) X-2; Y-4; Z-5,(B) X-3; Y-2; Z-4,(C) X-5; Y-2; Z-2,(D) X-3; Y-4; Z-1,(E) X-3; Y-1; Z-4,D
178,Sit-down strikes proved to be a successful strategy for some unions in the 1930s primarily because they (A) were enthusiastically supported by the Roosevelt administration. (B) prevented damage to company property. (C) prevented the factory owners from carrying on production with strikebreakers. (D) tended to gain public sympathy. (E) were protected by federal legislation.,(A) were enthusiastically supported by the Roosevelt administration.,(B) prevented damage to company property.,(C) prevented the factory owners from carrying on production with strikebreakers.,(D) tended to gain public sympathy.,(E) were protected by federal legislation.,D
179,The National Industrial Recovery Act and the Wagner Act both dealt with the issue of (A) the government’s right to set price controls. (B) employers’ rights to exclude women from their workforce. (C) workers’ rights to organize unions. (D) states’ rights to regulate interstate trade. (E) corporations’ rights to cooperate in setting industrywide standards.,(A) the government’s right to set price controls.,(B) employers’ rights to exclude women from their workforce.,(C) workers’ rights to organize unions.,(D) states’ rights to regulate interstate trade.,(E) corporations’ rights to cooperate in setting industrywide standards.,C
180,"The Washington Conference, held in 1921, resulted in (A) an undermining of the authority of the United Nations. (B) treaties of disarmament among Great Britain, Japan, and the United States. (C) an end to Japanese aggression in China. (D) the development of the Stimson Doctrine. (E) the rise of Mussolini in Italy.",(A) an undermining of the authority of the United Nations.,"(B) treaties of disarmament among Great Britain, Japan, and the United States.",(C) an end to Japanese aggression in China.,(D) the development of the Stimson Doctrine.,(E) the rise of Mussolini in Italy.,B
181,The United States demonstrated its support for the Allies before it entered World War II by (A) the announcement of the Stimson Doctrine. (B) its reaction to the sinking of the Panay by Japan. (C) the adoption of the policy of Lend-Lease. (D) its participation in the League of Nations. (E) its participation in the Washington Conference in 1921.,(A) the announcement of the Stimson Doctrine.,(B) its reaction to the sinking of the Panay by Japan.,(C) the adoption of the policy of Lend-Lease.,(D) its participation in the League of Nations.,(E) its participation in the Washington Conference in 1921.,C
182,All of the following were principles outlined in the Atlantic Charter by FDR and Winston Churchill EXCEPT (A) freedom of the seas. (B) self-determination. (C) disarmament. (D) the destruction of Nazi tyranny. (E) territorial aggrandizement by Great Britain and the United States.,(A) freedom of the seas.,(B) self-determination.,(C) disarmament.,(D) the destruction of Nazi tyranny.,(E) territorial aggrandizement by Great Britain and the United States.,E
183,Which of the following was a result of the Munich Pact of 1938? (A) The rise of Franco in Spain (B) The nonaggression treaty signed between the USSR and Germany in 1939 (C) The German invasion of Czechoslovakia in 1939 (D) V-E Day (E) The Atlantic Charter,(A) The rise of Franco in Spain,(B) The nonaggression treaty signed between the USSR and Germany in 1939,(C) The German invasion of Czechoslovakia in 1939,(D) V-E Day,(E) The Atlantic Charter,C
184,NATO was formed primarily to stop the spread of Communism in,(A) Asia.,(B) Europe.,(C) South America.,(D) Africa.,(E) the Middle East.,B
185,"In the years after World War II, President Truman’s foreign policy was focused chiefly on",(A) nuclear testing.,(B) economic growth in underdeveloped countries.,(C) containment of international communism.,(D) diplomatic relations with Eastern European nations.,(E) creation of cultural links with Red China.,C
186,The reaction by Western Europe to the Berlin blockade was the,(A) invasion of East Germany,(B) threat to increase nuclear arms.,(C) use of spy satellites.,(D) boycott of Soviet goods.,(E) Berlin airlift.,E
187,"For Western Europe, the Marshall Plan provided",(A) military assistance.,(B) cultural links.,(C) technology.,(D) economic aid.,(E) medical goods and equipment.,D
188,Julius and Ethel Rosenberg were tried for and found guilty of,(A) spying for Nazi Germany.,(B) inciting opposition to World War II.,(C) being communists.,(D) providing information about the atomic bomb to the Soviet Union.,(E) violating tax laws.,D
189,Which of the following was NOT considered an important factor in the rise of suburbia after World War II?,(A) The building of new highways,(B) The G.I. Bill,(C) The construction of new train lines,(D) White flight,(E) A housing shortage in cities following World War II,C
190,All of the following are associated with the anti-communist movement of the late 1940s and 1950s EXCEPT the,(A) hearings of the “Hollywood Ten.”,(B) trial of Julius and Ethel Rosenberg.,(C) McCarren Act.,(D) G.I. Bill.,(E) Army-McCarthy hearings.,D
191,William Levitt is often compared to Henry Ford because they both,(A) invented new products that changed American society.,(B) standardized production of particular products.,(C) used extensive government funding to advance particular projects.,(D) created products that only the wealthy could afford.,(E) publicly supported the rise of fascism in Europe.,B
192,Which of the following is associated with the Kennedy administration?,(A) Medicare,(B) Medicaid,(C) Alliance for Progress,(D) The 24th Amendment,(E) The ESEA,C
193,Baker v. Carr was concerned with,(A) the Bill of Rights.,(B) presidential succession.,(C) criminal rights.,(D) the poll tax.,(E) legislative reapportionment.,E
194,Who of the following proposed that the nation declare a “war on poverty”?,(A) John F. Kennedy,(B) Richard Nixon,(C) Barry Goldwater,(D) Lyndon B. Johnson,(E) Earl Warren,D
195,"According to the Immigration Act of 1965, the main criteria for admission to the United States would be an applicant’s",(A) gender.,(B) race.,(C) country of origin.,(D) occupation.,(E) education.,D
